Source,Target,Type,Rota de ligacao
259,260,Undirected,444
259,260,Undirected,4
260,261,Undirected,444
260,263,Undirected,4
261,262,Undirected,444
262,265,Undirected,444
263,264,Undirected,4
264,265,Undirected,4
265,266,Undirected,444
265,266,Undirected,4
266,267,Undirected,444
266,267,Undirected,4
267,268,Undirected,444
267,268,Undirected,4
268,269,Undirected,444
268,269,Undirected,4
269,270,Undirected,444
269,272,Undirected,4
270,271,Undirected,444
271,272,Undirected,444
272,273,Undirected,245
272,273,Undirected,444
272,273,Undirected,4
273,274,Undirected,245
273,274,Undirected,444
273,274,Undirected,4
274,275,Undirected,245
274,545,Undirected,444
274,276,Undirected,4
275,276,Undirected,245
276,279,Undirected,245
276,277,Undirected,4
277,278,Undirected,4
278,305,Undirected,4
279,280,Undirected,245
279,280,Undirected,944
280,281,Undirected,245
280,281,Undirected,944
281,282,Undirected,245
281,282,Undirected,944
282,315,Undirected,245
282,283,Undirected,944
283,284,Undirected,944
284,285,Undirected,944
285,286,Undirected,944
286,287,Undirected,944
287,288,Undirected,944
288,289,Undirected,944
289,290,Undirected,944
290,291,Undirected,944
291,292,Undirected,944
292,293,Undirected,944
293,294,Undirected,944
294,295,Undirected,944
295,296,Undirected,944
296,297,Undirected,944
297,298,Undirected,944
298,299,Undirected,944
299,300,Undirected,944
300,301,Undirected,944
301,302,Undirected,944
302,315,Undirected,944
305,306,Undirected,4
306,307,Undirected,4
307,308,Undirected,4
308,309,Undirected,4
309,310,Undirected,4
310,311,Undirected,4
311,324,Undirected,4
315,316,Undirected,245
315,316,Undirected,944
316,317,Undirected,245
316,317,Undirected,944
317,318,Undirected,245
317,318,Undirected,944
318,326,Undirected,245
318,319,Undirected,944
319,498,Undirected,944
320,381,Undirected,101
320,354,Undirected,111
320,321,Undirected,404
320,627,Undirected,77
320,48,Undirected,900
320,49,Undirected,901
320,821,Undirected,902
320,827,Undirected,90
320,49,Undirected,911
320,818,Undirected,922
320,421,Undirected,92
320,421,Undirected,9
321,322,Undirected,404
322,349,Undirected,404
324,325,Undirected,4
325,326,Undirected,4
326,327,Undirected,245
326,327,Undirected,4
327,344,Undirected,245
327,344,Undirected,4
328,329,Undirected,505
328,329,Undirected,55
329,381,Undirected,505
329,428,Undirected,55
330,331,Undirected,333
331,332,Undirected,303
331,332,Undirected,333
331,336,Undirected,3
332,333,Undirected,303
332,333,Undirected,333
333,334,Undirected,303
333,334,Undirected,333
334,335,Undirected,303
334,335,Undirected,333
335,339,Undirected,303
335,336,Undirected,333
336,337,Undirected,333
336,421,Undirected,3
337,338,Undirected,333
338,421,Undirected,333
339,340,Undirected,303
340,437,Undirected,303
341,342,Undirected,550
341,342,Undirected,555
342,343,Undirected,550
342,343,Undirected,555
343,423,Undirected,550
343,414,Undirected,555
344,345,Undirected,245
344,345,Undirected,4
345,346,Undirected,245
345,346,Undirected,4
346,428,Undirected,245
346,347,Undirected,4
347,348,Undirected,4
348,353,Undirected,4
349,350,Undirected,404
350,351,Undirected,404
351,352,Undirected,404
352,545,Undirected,404
353,545,Undirected,4
354,355,Undirected,111
355,356,Undirected,111
356,357,Undirected,111
357,358,Undirected,111
358,359,Undirected,111
359,360,Undirected,111
360,361,Undirected,111
361,362,Undirected,111
362,363,Undirected,111
363,364,Undirected,111
364,365,Undirected,111
365,366,Undirected,111
366,367,Undirected,111
367,368,Undirected,111
368,369,Undirected,111
369,370,Undirected,111
370,371,Undirected,111
371,372,Undirected,111
372,373,Undirected,111
373,374,Undirected,111
374,375,Undirected,111
375,376,Undirected,111
376,377,Undirected,111
377,378,Undirected,111
378,379,Undirected,111
379,380,Undirected,111
380,575,Undirected,111
381,575,Undirected,101
381,382,Undirected,505
381,382,Undirected,910
382,383,Undirected,505
382,383,Undirected,910
383,384,Undirected,505
383,384,Undirected,910
384,385,Undirected,505
384,385,Undirected,910
385,421,Undirected,505
385,386,Undirected,910
386,387,Undirected,910
387,388,Undirected,910
388,389,Undirected,910
389,390,Undirected,910
390,391,Undirected,910
391,392,Undirected,910
392,393,Undirected,910
393,394,Undirected,910
394,395,Undirected,910
395,396,Undirected,910
396,397,Undirected,910
397,398,Undirected,910
398,399,Undirected,910
399,400,Undirected,910
400,401,Undirected,910
401,402,Undirected,910
402,403,Undirected,910
403,404,Undirected,910
404,405,Undirected,910
405,406,Undirected,910
406,407,Undirected,910
407,408,Undirected,910
408,409,Undirected,910
409,410,Undirected,910
410,411,Undirected,910
411,412,Undirected,910
412,413,Undirected,910
413,414,Undirected,910
414,415,Undirected,555
414,415,Undirected,910
415,416,Undirected,555
415,416,Undirected,910
416,417,Undirected,555
416,417,Undirected,910
417,418,Undirected,555
417,418,Undirected,910
418,419,Undirected,555
418,419,Undirected,910
419,420,Undirected,555
419,420,Undirected,910
420,421,Undirected,555
420,421,Undirected,910
421,422,Undirected,333
421,422,Undirected,3
421,422,Undirected,505
421,422,Undirected,555
421,422,Undirected,910
421,422,Undirected,92
421,422,Undirected,9
422,439,Undirected,333
422,423,Undirected,3
422,428,Undirected,505
422,423,Undirected,555
422,476,Undirected,910
422,428,Undirected,92
422,822,Undirected,9
423,437,Undirected,3
423,424,Undirected,550
423,424,Undirected,555
424,428,Undirected,550
424,425,Undirected,555
425,426,Undirected,555
426,427,Undirected,555
427,428,Undirected,555
428,429,Undirected,245
428,429,Undirected,505
428,429,Undirected,550
428,429,Undirected,555
428,429,Undirected,55
428,429,Undirected,92
429,430,Undirected,245
429,430,Undirected,505
429,430,Undirected,550
429,430,Undirected,555
429,430,Undirected,55
429,430,Undirected,92
430,431,Undirected,245
430,431,Undirected,505
430,431,Undirected,550
430,431,Undirected,555
430,431,Undirected,55
430,431,Undirected,92
